[initialisation-phase1]
report.type: initialisation
initialisation.initialisation_phase: Phase1
years: 60
lambda: 1e-010
lambda_hat: 0.00917615 0.000165044 3.02189e-006 5.53476e-008 1.01373e-009 1.85672e-011
lambda_years: 10 20 30 40 50 60
row column category age[1]
1 1 stock 27154.1
1 2 stock 27154.1
1 3 stock 27154.1
1 4 stock 27154.1
1 5 stock 27154.1
1 6 stock 27154.1
1 7 stock 27154.1
1 8 stock 27154.1
1 9 stock 27154.1
1 10 stock 27154.1
1 11 stock 27154.1
1 12 stock 27154.1
1 13 stock 27154.1
1 14 stock 27154.1
1 15 stock 27154.1
1 16 stock 27154.1
1 17 stock 27154.1
1 18 stock 27154.1
1 19 stock 27154.1
1 20 stock 27154.1
1 21 stock 27154.1
1 22 stock 27154.1
1 23 stock 27154.1
1 24 stock 27154.1
1 25 stock 27154.1
1 26 stock 27154.1
1 27 stock 27154.1
1 28 stock 27154.1
1 29 stock 27154.1
1 30 stock 27154.1
1 31 stock 27154.1
2 1 stock 2973.19
2 2 stock 2973.19
2 3 stock 2973.19
2 4 stock 2973.19
2 5 stock 2973.19
2 6 stock 2973.19
2 7 stock 2973.19
2 8 stock 2973.19
2 9 stock 2973.19
2 10 stock 2973.19
2 11 stock 2973.19
2 12 stock 2973.19
2 13 stock 2973.19
2 14 stock 2973.19
2 15 stock 2973.19
2 16 stock 2973.19
2 17 stock 2973.19
2 18 stock 2973.19
2 19 stock 2973.19
2 20 stock 2973.19
2 21 stock 2973.19
2 22 stock 2973.19
2 23 stock 2973.19
2 24 stock 2973.19
2 25 stock 2973.19
2 26 stock 2973.19
2 27 stock 2973.19
2 28 stock 2973.19
2 29 stock 2973.19
2 30 stock 2973.19
2 31 stock 2973.19
3 1 stock 2973.19
3 2 stock 2973.19
3 3 stock 2973.19
3 4 stock 2973.19
3 5 stock 2973.19
3 6 stock 2973.19
3 7 stock 2973.19
3 8 stock 2973.19
3 9 stock 2973.19
3 10 stock 2973.19
3 11 stock 2973.19
3 12 stock 2973.19
3 13 stock 2973.19
3 14 stock 2973.19
3 15 stock 2973.19
3 16 stock 2973.19
3 17 stock 2973.19
3 18 stock 2973.19
3 19 stock 2973.19
3 20 stock 2973.19
3 21 stock 2973.19
3 22 stock 2973.19
3 23 stock 2973.19
3 24 stock 2973.19
3 25 stock 2973.19
3 26 stock 2973.19
3 27 stock 2973.19
3 28 stock 2973.19
3 29 stock 2973.19
3 30 stock 2973.19
3 31 stock 2973.19
4 1 stock 2973.19
4 2 stock 2973.19
4 3 stock 2973.19
4 4 stock 2973.19
4 5 stock 2973.19
4 6 stock 2973.19
4 7 stock 2973.19
4 8 stock 2973.19
4 9 stock 2973.19
4 10 stock 2973.19
4 11 stock 2973.19
4 12 stock 2973.19
4 13 stock 2973.19
4 14 stock 2973.19
4 15 stock 2973.19
4 16 stock 2973.19
4 17 stock 2973.19
4 18 stock 2973.19
4 19 stock 2973.19
4 20 stock 2973.19
4 21 stock 2973.19
4 22 stock 2973.19
4 23 stock 2973.19
4 24 stock 2973.19
4 25 stock 2973.19
4 26 stock 2973.19
4 27 stock 2973.19
4 28 stock 2973.19
4 29 stock 2973.19
4 30 stock 2973.19
4 31 stock 2973.19
5 1 stock 1.20905e-011
5 2 stock 1.20905e-011
5 3 stock 1.20905e-011
5 4 stock 1.20905e-011
5 5 stock 1.20905e-011
5 6 stock 1.20905e-011
5 7 stock 1.20905e-011
5 8 stock 1.20905e-011
5 9 stock 1.20905e-011
5 10 stock 1.20905e-011
5 11 stock 1.20905e-011
5 12 stock 1.20905e-011
5 13 stock 1.20905e-011
5 14 stock 1.20905e-011
5 15 stock 1.20905e-011
5 16 stock 1.20905e-011
5 17 stock 1.20905e-011
5 18 stock 1.20905e-011
5 19 stock 1.20905e-011
5 20 stock 1.20905e-011
5 21 stock 1.20905e-011
5 22 stock 1.20905e-011
5 23 stock 1.20905e-011
5 24 stock 1.20905e-011
5 25 stock 1.20905e-011
5 26 stock 1.20905e-011
5 27 stock 1.20905e-011
5 28 stock 1.20905e-011
5 29 stock 1.20905e-011
5 30 stock 1.20905e-011
5 31 stock 1.20905e-011
6 1 stock 1.20905e-011
6 2 stock 1.20905e-011
6 3 stock 1.20905e-011
6 4 stock 1.20905e-011
6 5 stock 1.20905e-011
6 6 stock 1.20905e-011
6 7 stock 1.20905e-011
6 8 stock 1.20905e-011
6 9 stock 1.20905e-011
6 10 stock 1.20905e-011
6 11 stock 1.20905e-011
6 12 stock 1.20905e-011
6 13 stock 1.20905e-011
6 14 stock 1.20905e-011
6 15 stock 1.20905e-011
6 16 stock 1.20905e-011
6 17 stock 1.20905e-011
6 18 stock 1.20905e-011
6 19 stock 1.20905e-011
6 20 stock 1.20905e-011
6 21 stock 1.20905e-011
6 22 stock 1.20905e-011
6 23 stock 1.20905e-011
6 24 stock 1.20905e-011
6 25 stock 1.20905e-011
6 26 stock 1.20905e-011
6 27 stock 1.20905e-011
6 28 stock 1.20905e-011
6 29 stock 1.20905e-011
6 30 stock 1.20905e-011
6 31 stock 1.20905e-011
7 1 stock 1.20905e-011
7 2 stock 1.20905e-011
7 3 stock 1.20905e-011
7 4 stock 1.20905e-011
7 5 stock 1.20905e-011
7 6 stock 1.20905e-011
7 7 stock 1.20905e-011
7 8 stock 1.20905e-011
7 9 stock 1.20905e-011
7 10 stock 1.20905e-011
7 11 stock 1.20905e-011
7 12 stock 1.20905e-011
7 13 stock 1.20905e-011
7 14 stock 1.20905e-011
7 15 stock 1.20905e-011
7 16 stock 1.20905e-011
7 17 stock 1.20905e-011
7 18 stock 1.20905e-011
7 19 stock 1.20905e-011
7 20 stock 1.20905e-011
7 21 stock 1.20905e-011
7 22 stock 1.20905e-011
7 23 stock 1.20905e-011
7 24 stock 1.20905e-011
7 25 stock 1.20905e-011
7 26 stock 1.20905e-011
7 27 stock 1.20905e-011
7 28 stock 1.20905e-011
7 29 stock 1.20905e-011
7 30 stock 1.20905e-011
7 31 stock 1.20905e-011
8 1 stock 1.20905e-011
8 2 stock 1.20905e-011
8 3 stock 1.20905e-011
8 4 stock 1.20905e-011
8 5 stock 1.20905e-011
8 6 stock 1.20905e-011
8 7 stock 1.20905e-011
8 8 stock 1.20905e-011
8 9 stock 1.20905e-011
8 10 stock 1.20905e-011
8 11 stock 1.20905e-011
8 12 stock 1.20905e-011
8 13 stock 1.20905e-011
8 14 stock 1.20905e-011
8 16 stock 1.20905e-011
8 17 stock 1.20905e-011
8 18 stock 1.20905e-011
8 19 stock 1.20905e-011
8 20 stock 1.20905e-011
8 21 stock 1.20905e-011
8 22 stock 1.20905e-011
8 23 stock 1.20905e-011
8 24 stock 1.20905e-011
8 25 stock 1.20905e-011
8 26 stock 1.20905e-011
8 27 stock 1.20905e-011
8 28 stock 1.20905e-011
8 29 stock 1.20905e-011
8 30 stock 1.20905e-011
8 31 stock 1.20905e-011
9 1 stock 1.20905e-011
9 2 stock 1.20905e-011
9 3 stock 1.20905e-011
9 4 stock 1.20905e-011
9 5 stock 1.20905e-011
9 6 stock 1.20905e-011
9 7 stock 1.20905e-011
9 8 stock 1.20905e-011
9 9 stock 1.20905e-011
9 10 stock 1.20905e-011
9 11 stock 1.20905e-011
9 12 stock 1.20905e-011
9 13 stock 1.20905e-011
9 14 stock 1.20905e-011
9 17 stock 1.20905e-011
9 18 stock 1.20905e-011
9 19 stock 1.20905e-011
9 20 stock 1.20905e-011
9 21 stock 1.20905e-011
9 22 stock 1.20905e-011
9 23 stock 1.20905e-011
9 24 stock 1.20905e-011
9 25 stock 1.20905e-011
9 26 stock 1.20905e-011
9 27 stock 1.20905e-011
9 28 stock 1.20905e-011
9 29 stock 1.20905e-011
9 30 stock 1.20905e-011
9 31 stock 1.20905e-011
10 1 stock 1.20905e-011
10 2 stock 1.20905e-011
10 3 stock 1.20905e-011
10 4 stock 1.20905e-011
10 5 stock 1.20905e-011
10 6 stock 1.20905e-011
10 7 stock 1.20905e-011
10 8 stock 1.20905e-011
10 9 stock 1.20905e-011
10 10 stock 1.20905e-011
10 11 stock 1.20905e-011
10 12 stock 1.20905e-011
10 13 stock 1.20905e-011
10 14 stock 1.20905e-011
10 17 stock 1.20905e-011
10 18 stock 1.20905e-011
10 19 stock 1.20905e-011
10 20 stock 1.20905e-011
10 21 stock 1.20905e-011
10 22 stock 1.20905e-011
10 23 stock 1.20905e-011
10 24 stock 1.20905e-011
10 25 stock 1.20905e-011
10 26 stock 1.20905e-011
10 27 stock 1.20905e-011
10 28 stock 1.20905e-011
10 29 stock 1.20905e-011
10 30 stock 1.20905e-011
10 31 stock 1.20905e-011
11 1 stock 1.20905e-011
11 2 stock 1.20905e-011
11 3 stock 1.20905e-011
11 4 stock 1.20905e-011
11 5 stock 1.20905e-011
11 6 stock 1.20905e-011
11 7 stock 1.20905e-011
11 8 stock 1.20905e-011
11 9 stock 1.20905e-011
11 10 stock 1.20905e-011
11 11 stock 1.20905e-011
11 12 stock 1.20905e-011
11 13 stock 1.20905e-011
11 14 stock 1.20905e-011
11 19 stock 1.20905e-011
11 20 stock 1.20905e-011
11 21 stock 1.20905e-011
11 22 stock 1.20905e-011
11 23 stock 1.20905e-011
11 24 stock 1.20905e-011
11 25 stock 1.20905e-011
11 26 stock 1.20905e-011
11 27 stock 1.20905e-011
11 28 stock 1.20905e-011
11 29 stock 1.20905e-011
11 30 stock 1.20905e-011
11 31 stock 1.20905e-011
12 1 stock 1.20905e-011
12 2 stock 1.20905e-011
12 3 stock 1.20905e-011
12 4 stock 1.20905e-011
12 5 stock 1.20905e-011
12 6 stock 1.20905e-011
12 7 stock 1.20905e-011
12 8 stock 1.20905e-011
12 9 stock 1.20905e-011
12 10 stock 1.20905e-011
12 11 stock 1.20905e-011
12 12 stock 1.20905e-011
12 13 stock 1.20905e-011
12 14 stock 1.20905e-011
12 18 stock 1.20905e-011
12 19 stock 1.20905e-011
12 20 stock 1.20905e-011
12 21 stock 1.20905e-011
12 22 stock 1.20905e-011
12 23 stock 1.20905e-011
12 24 stock 1.20905e-011
12 25 stock 1.20905e-011
12 26 stock 1.20905e-011
12 27 stock 1.20905e-011
12 28 stock 1.20905e-011
12 29 stock 1.20905e-011
12 30 stock 1.20905e-011
12 31 stock 1.20905e-011
13 1 stock 1.20905e-011
13 2 stock 1.20905e-011
13 3 stock 1.20905e-011
13 4 stock 1.20905e-011
13 5 stock 1.20905e-011
13 6 stock 1.20905e-011
13 7 stock 1.20905e-011
13 8 stock 1.20905e-011
13 9 stock 1.20905e-011
13 10 stock 1.20905e-011
13 11 stock 1.20905e-011
13 12 stock 1.20905e-011
13 13 stock 1.20905e-011
13 14 stock 1.20905e-011
13 15 stock 1.20905e-011
